t,angle,gyro,speed,dist,LQR_u,yawout,yaw,joyx,joyy,joyy_f,height,angle_zp,dist_zp,leg_add,bat,motor1_t,motor2_t,unctrl,jump
69079,7.755334,3.365734,-0.043156,1.329194,-0.099796,-0.156463,-0.08387,0,0,0,48,7.857331,1.04234,12.41354,8.15041,0.128129,-0.028334,0,0
69099,7.784522,1.457337,0.102305,1.329961,-0.01741,-0.11789,-0.103312,0,0,0,48,7.854181,1.04234,12.41293,8.15041,0.06765,-0.05024,0,0
69119,7.73796,2.831382,0.082995,1.332262,0.08314,-0.100599,-0.105563,0,0,0,48,7.85108,1.04234,12.39834,8.15041,0.008729,-0.09187,0,0
69141,7.738427,3.564207,0.150825,1.336864,0.292281,-0.079335,-0.098956,0,0,0,48,7.847708,1.04234,12.38366,8.15041,-0.106473,-0.185808,0,0
69161,7.806382,1.228329,0.325692,1.343,0.463756,-0.02241,-0.078672,0,0,0,48,7.844662,1.04234,12.36633,8.15041,-0.220673,-0.243083,0,0
69184,7.916094,-2.618999,0.527463,1.353738,0.645311,0.067375,-0.034688,0,0,0,48,7.841319,1.04234,12.3318,8.15041,-0.356343,-0.288968,0,0
69204,7.970653,-7.519763,0.73392,1.367544,0.685963,0.178711,0.028404,0,0,0,48,7.838262,1.04234,12.29132,8.15041,-0.432337,-0.253626,0,0
69225,7.975476,-13.36709,0.961819,1.387486,0.607836,0.310065,0.121284,0,0,0,48,7.835163,1.04234,12.25253,8.15041,-0.45895,-0.148885,0,0
69247,7.834261,-17.48923,1.18517,1.413563,0.426622,0.255667,0.193909,0,0,0,48,7.831673,1.04234,12.22435,8.15041,-0.341144,-0.085478,0,0
69265,7.525082,-13.09228,1.1239,1.434272,0.334255,0.052893,0.176173,0,0,0,48,7.828728,1.04234,12.21628,8.15041,-0.193574,-0.140681,0,0
69284,7.25765,-5.290755,0.869294,1.450379,0.32794,-0.152688,0.081738,0,0,0,48,7.825681,1.04234,12.21634,8.15041,-0.087626,-0.240314,0,0
